Sr. No.,Part,Source,HSNCode,Part Description,Model,USD PRICE
341,C90557621,O,87089900,TRIM A REAR DOOR RH,ASTRA,71.63
342,C90557639,O,87089900,NAME PLATE TURBO INTERCOOLER,ASTRA,1.10
343,C90557641,O,87089900,NAME PLATE MULTIPOINT MY 2000,ASTRA,1.05
344,C90557646,O,87089900,HOSE X16NE,ASTRA,0.79
345,C90557665,O,87089900,BUCKLE A SEAT BELT FRONT LH,ASTRA,4.85
346,C90557667,O,87089900,WIRING HARNESS A RR BODY SUN,ASTRA,156.87
347,C90557690,O,87089900,TAILLAMP A RH CLEAR,ASTRA,10.41
348,C90557695,O,87089900,AILLAMP LH ORANGE TURN SIGNAL,ASTRA,15.58
349,C90557696,O,87089900,TAILLAMP RH ORANGE TURN SIGNA,ASTRA,15.63
350,C90557697,O,87089900,DOOR TRIM R LH MY01GL GLI CLUB,ASTRA,81.62
351,C90557885,O,87089900,BATTERIES 275CCA 12V 60AH AR,ASTRA,64.84
352,C90557886,O,87089900,NAMEPLATE ASTRA 1 7TD,ASTRA,6.82
353,1178531,O,87089900,SPRING,ASTRA,1.07
354,1178532,O,87089900,NUT,ASTRA,1.49
355,1178534,O,87089900,SPRING LOCK HOOD,ASTRA,1.61
356,1178548,O,87089900,HANDLE,VECTRA,6.76
357,1180044,O,87089900,ROD HOOD HOLD OPEN,ASTRA,9.47
358,1188139,O,87089900,INSULATING STRIP,ASTRA,1.52
359,1200531,O,87089900,CABLE ASM BATTERY POSITIVE,ASTRA,4.00
360,1202143,O,87089900,STARTER ASSY BOSCH,ASTRA,587.42
361,1202176,O,87089900,SWITCH STARTER BOSCH 233930322,VECTRA,90.77
362,1202640,O,87089900,SUPPORT STARTER,ASTRA,4.93
363,1203201,O,87089900,BUSH DRIVE END STARTER,ASTRA,1.52
364,1203235,O,87089900,BUSH DRIVE END 14 X 12,ASTRA,2.17
